# data from table1 yasui+15  #
#run       mp    vimp   R_cr  xcm   tris tmax  gmax  Thalf rhop Vp  rhos   R_p
#          g     m/s    cm    cm    ms   ms    m/s2  ms    kg/m3 m/s kg/m3 mm
20140605.1 0.052 102.04 3.124 10.46 0.68 0.99  12.33 0.55  3600 108 1510  1.5
20140605.2 0.051  98.43 3.046  4.24 0.22 0.51  38.86 0.51  3600 108 1510  1.5
20140605.2 0.051  98.43 3.046  6.11 0.39 0.74  20.72 0.89  3600 108 1510  1.5
20140605.2 0.051  98.43 3.046  9.49 0.74 0.99   8.37 0.54  3600 108 1510  1.5
20140605.3 0.050 126.90 3.495  3.61 0.24 0.45  74.   0.60  3600 108 1510  1.5
20140605.3 0.050 126.90 3.495  7.93 0.56 0.96  21.36 0.89  3600 108 1510  1.5
20140605.3 0.050 126.90 3.495 12.72 0.94 1.17  14.58 0.53  3600 108 1510  1.5
20131111.2 0.112  99.24 3.746  7.43  -1   -1   25.1  0.69  7800 108 1510  1.5
20131111.2 0.112  99.24 3.746 10.31  -1   -1   19.66 0.58  7800 108 1510  1.5
20131111.4 0.113 105.69 3.851  7.43  -1   -1   23.7  0.59  7800 108 1510  1.5
20131111.4 0.113 105.69 3.851 10.31  -1   -1   15.6  0.66  7800 108 1510  1.5
20131111.5 0.112 134.02 4.212  7.43  -1   -1   36.4  0.60  7800 108 1510  1.5
20131111.5 0.112 134.02 4.212 10.31  -1   -1   22.44 0.54  7800 108 1510  1.5
20140605.4 0.114 117.92 3.849  5.59 0.29 0.54  94.56 0.67  7800 108 1510  1.5
20140605.4 0.114 117.92 3.849  7.43 0.40 0.79  49.48 1.08  7800 108 1510  1.5
20140605.4 0.114 117.92 3.849 10.31 0.63 1.01  26.26 0.82  7800 108 1510  1.5
20140605.5 0.112 105.93 3.851  3.98 0.17 0.41  64.   0.65  7800 108 1510  1.5
20140605.5 0.112 105.93 3.851  6.41 0.36 0.88  36.36 1.12  7800 108 1510  1.5
20140605.5 0.112 105.93 3.851  9.49 0.71 1.14  20.52 0.95  7800 108 1510  1.5
20140605.6 0.111 120.77 4.016  3.48 0.20 0.38  180.6 0.48  7800 108 1510  1.5
20140605.6 0.111 120.77 4.016  8.07 0.60 0.97  41.06 0.83  7800 108 1510  1.5
20140605.6 0.111 120.77 4.016 12.62 0.93 1.33  23.86 0.79  7800 108 1510  1.5
#table3 of matsue+20 PC projectile, diam 4.75mm
#run       mp    vimp   R_cr  xcm   tris tmax  gmax  Thalf rhop  v_p rhos     
140710.2  0.068  221    3.0   5.1   -1   0.42  30.0  1.13  1200  51 1460  2.375 
140710.2  0.068  221    3.0   7.5   -1   0.87   7.1  0.63  1200  51 1460  2.375 
140715.2  0.068  222    3.2   6.0   -1   0.39  35.5  0.79  1200  51 1460  2.375 
140718.2  0.068  208    3.1   5.7   -1   0.87  18.1  1.52  1200  51 1460  2.375 
140718.2  0.068  208    3.1   6.6   -1   0.70  12.4  1.02  1200  51 1460  2.375 
140718.2  0.068  208    3.1   7.2   -1   1.01   6.75 1.66  1200  51 1460  2.375 
140718.3  0.068  204    3.2   8.8   -1   1.32   7.13 1.59  1200  51 1460  2.375 
140718.4  0.068  217    3.3   9.4   -1   1.31   9.6  0.78  1200  51 1460  2.375 
140720.1  0.068  173    2.9   6.4   -1   0.66  10.5  1.02  1200  51 1460  2.375 
#table4 of masue+20
#run       mp    vimp   R_cr  xcm   tris tmax  gmax  Thalf rhop  v_p rhos Rp
140530.1  0.068  2279   7.6   10.3  -1   0.93  67.3  1.25  1200  51 1460  2.375 
140530.1  0.068  2279   7.6   16.2  -1   1.74  17.0  1.44  1200  51 1460  2.375 
140530.1  0.068  2279   7.6   25.1  -1   3.07   2.8  1.66  1200  51 1460  2.375 
140530.2  0.068  3748   8.7   12.3  -1   0.94 116.4  1.02  1200  51 1460  2.375 
140530.2  0.068  3748   8.7   17.2  -1   1.83  27.6  1.90  1200  51 1460  2.375 
140530.2  0.068  3748   8.7   25.1  -1   2.81   8.2  1.50  1200  51 1460  2.375 
140530.3  0.068  5155  10.2   15.2  -1   1.26 116.2  1.24  1200  51 1460  2.375 
140530.3  0.068  5155  10.2   20.2  -1   2.03  22.0  1.28  1200  51 1460  2.375 
140530.3  0.068  5155  10.2   27.1  -1   3.47  15.3  2.33  1200  51 1460  2.375 
140530.4  0.068  3381   8.9   15.2  -1   1.64  57.2  0.89  1200  51 1460  2.375 
140530.4  0.068  3381   8.9   20.2  -1   2.41  21.9  1.55  1200  51 1460  2.375 
140530.4  0.068  3381   8.9   30.1  -1   3.59   9.7  1.32  1200  51 1460  2.375 
141001.1  0.068  1739   6.6   10.7  -1   0.97  45.6  1.77  1200  51 1460  2.375 
141001.1  0.068  1739   6.6   14.0  -1   1.56  25.1  1.64  1200  51 1460  2.375 
141002.1  0.068  1506   6.5    8.9  -1   -1    35.0  1.17  1200  51 1460  2.375
141002.1  0.068  1506   6.5   12.0  -1   -1    30.7  1.81  1200  51 1460  2.375 
141002.1  0.068  1506   6.5   15.2  -1   -1     9.7  1.52  1200  51 1460  2.375 
141002.2  0.068  2495   7.6   12.1  -1   1.05  56.9  2.48  1200  51 1460  2.375 
141002.2  0.068  2495   7.6   14.8  -1   1.72  30.1  2.46  1200  51 1460  2.375 
141002.3  0.068  3268   8.6   18.9  -1   2.30  28.4  2.04  1200  51 1460  2.375 
141002.4  0.068  4417   9.3   16.6  -1   1.77  44.0  2.53  1200  51 1460  2.375 
141002.4  0.068  4417   9.3   20.6  -1   2.56  13.9  2.57  1200  51 1460  2.375 
141002.5  0.068  5754  10.3   15.4  -1   1.58  69.5  1.94  1200  51 1460  2.375 
141002.5  0.068  5754  10.3   20.2  -1   2.38  13.8  1.68  1200  51 1460  2.375 
141003.1  0.068  6711  11.1   15.0  -1   1.27  77.7  2.46  1200  51 1460  2.375 
141003.1  0.068  6711  11.1   20.6  -1   2.16  34.3  2.66  1200  51 1460  2.375 
141003.2  0.068  6887  11.4   13.3  -1   0.97 118.2  1.23  1200  51 1460  2.375 
141003.2  0.068  6887  11.4   17.2  -1   1.59  79.7  2.05  1200  51 1460  2.375 
141003.2  0.068  6887  11.4   23.8  -1   3.10  21.6  2.24  1200  51 1460  2.375 
141003.3  0.068  4003   9.5   13.6  -1   1.25  63.7  1.87  1200  51 1460  2.375 
141003.3  0.068  4003   9.5   17.6  -1   2.10  25.6  1.88  1200  51 1460  2.375 
141003.3  0.068  4003   9.5   23.6  -1   3.09   5.6  2.28  1200  51 1460  2.375 
141003.4  0.068  1689   6.8    7.9  -1   0.42  46.4  1.78  1200  51 1460  2.375 
141003.4  0.068  1689   6.8   15.3  -1   1.99  28.9  2.10  1200  51 1460  2.375 
141003.4  0.068  1689   6.8   23.1  -1   3.07   5.6  2.18  1200  51 1460  2.375 
141003.5  0.068  3016   8.4   10.1  -1   0.81  53.0  1.75  1200  51 1460  2.375 
141003.5  0.068  3016   8.4   15.7  -1   2.12  28.8  2.09  1200  51 1460  2.375 
141003.5  0.068  3016   8.4   19.9  -1   2.98  11.4  2.48  1200  51 1460  2.375 
141202.1  0.068  6158  10.8   20.1  -1   1.97  30.0  1.94  1200  51 1460  2.375 
141202.1  0.068  6158  10.8   23.1  -1   2.42  14.2  2.15  1200  51 1460  2.375 
141202.2  0.068  6596  10.8   15.3  -1   1.67  47.8  2.61  1200  51 1460  2.375 
141202.2  0.068  6596  10.8   17.6  -1   1.97  34.5  2.60  1200  51 1460  2.375 
141202.2  0.068  6596  10.8   24.6  -1   3.59  14.2  2.40  1200  51 1460  2.375 
141202.3  0.068  6402  10.9   14.6  -1   1.85  35.9  2.27  1200  51 1460  2.375 
141202.3  0.068  6402  10.9   19.8  -1   2.46  33.5  2.16  1200  51 1460  2.375 
141202.3  0.068  6402  10.9   24.2  -1   3.78  15.7  2.15  1200  51 1460  2.375 
141203.1  0.068  5192  10.2   14.3  -1   1.84  53.5  1.99  1200  51 1460  2.375 
141203.1  0.068  5192  10.2   17.1  -1   2.12  27.9  2.04  1200  51 1460  2.375 
141203.1  0.068  5192  10.2   23.4  -1   3.51  16.1  1.55  1200  51 1460  2.375 
141203.2  0.068  5330   9.9   12.1  -1   1.13  77.8  2.17  1200  51 1460  2.375 
141203.2  0.068  5330   9.9   16.7  -1   2.20  26.0  2.52  1200  51 1460  2.375 
141203.2  0.068  5330   9.9   19.6  -1   2.91  20.9  2.29  1200  51 1460  2.375 
141203.2  0.068  5330   9.9   19.9  -1   2.91  10.5  2.60  1200  51 1460  2.375 
150819.1  0.068  4322   9.7   11.6  -1   0.88  86.6  1.91  1200  51 1460  2.375 
150819.1  0.068  4322   9.7   17.8  -1   2.03  27.6  1.95  1200  51 1460  2.375 
150819.1  0.068  4322   9.7   23.6  -1   2.88  14.8  1.78  1200  51 1460  2.375 
150819.1  0.068  4322   9.7   26.0  -1   3.38   9.1  1.61  1200  51 1460  2.375 
150819.3  0.068  4230   8.9   12.9  -1   1.27  68.0  2.13  1200  51 1460  2.375 
150819.3  0.068  4230   8.9   15.7  -1   1.86  36.0  2.28  1200  51 1460  2.375 
150819.3  0.068  4230   8.9   20.6  -1   2.62  19.7  2.44  1200  51 1460  2.375 
150819.3  0.068  4230   8.9   26.2  -1   3.75  11.2  2.21  1200  51 1460  2.375 
151104.1  0.068  2208   6.9   12.4  -1   1.51  47.3  1.48  1200  51 1460  2.375 
151104.1  0.068  2208   6.9   13.9  -1   1.89  27.3  1.89  1200  51 1460  2.375 
151104.1  0.068  2208   6.9   15.2  -1   2.24  19.3  1.52  1200  51 1460  2.375 
151104.1  0.068  2208   6.9   19.2  -1   2.74   9.7  1.58  1200  51 1460  2.375 
151104.1  0.068  2208   6.9   23.3  -1   3.27   3.7  2.14  1200  51 1460  2.375 
151104.3  0.068  1125   5.6   12.1  -1   1.53   7.9  1.66  1200  51 1460  2.375
151104.3  0.068  1125   5.6   15.6  -1   2.13   3.6  2.66  1200  51 1460  2.375 
151104.3  0.068  1125   5.6   19.2  -1   2.78   2.8  1.97  1200  51 1460  2.375 
151105.2  0.068  1206   5.8   10.3  -1   0.96   6.9  2.94  1200  51 1460  2.375 
151105.2  0.068  1206   5.8   13.0  -1   1.48   6.5  2.05  1200  51 1460  2.375 
151105.2  0.068  1206   5.8   16.5  -1   2.13   5.3  1.72  1200  51 1460  2.375 
151105.2  0.068  1206   5.8   18.3  -1   2.52   5.2  1.74  1200  51 1460  2.375 
151105.2  0.068  1206   5.8   21.5  -1   3.06   4.0  1.54  1200  51 1460  2.375 
#table5 of masue+20 2mm projectiles
#run       mp    vimp   R_cr  xcm   tris tmax  gmax  Thalf rhop  v_p rhos  Rp
150611.5  0.0106 5318   5.8   11.1  -1   1.45  14.7  2.39  2500  51 1460   1
150611.5  0.0106 5318   5.8   15.1  -1   2.29   5.6  2.19  2500  51 1460   1
150611.5  0.0106 5318   5.8   21.0  -1   3.42   1.5  2.07  2500  51 1460   1   
150611.5  0.0106 5318   5.8   23.0  -1   3.36   1.6  1.82  2500  51 1460   1
150611.6  0.0106 2281   4.4   13.1  -1   2.16   3.1  2.12  2500  51 1460   1
150611.6  0.0106 2281   4.4   18.2  -1   2.37   0.5  1.49  2500  51 1460   1
150611.6  0.0106 2281   4.4   23.3  -1   3.59   0.5  1.77  2500  51 1460   1
150611.6  0.0106 2281   4.4   23.9  -1   4.17   0.4  1.58  2500  51 1460   1
150612.5  0.0113 2023   4.2    9.2  -1   1.45   8.9  2.13  2500  51 1460   1
150612.5  0.0113 2023   4.2   17.3  -1   2.39   0.5  1.11  2500  51 1460   1
150820.2  0.0109 4023   5.0   14.3  -1   2.07   7.1  2.10  2500  51 1460   1
150820.2  0.0109 4023   5.0   17.9  -1   2.77   5.0  1.94  2500  51 1460   1
150820.2  0.0109 4023   5.0   21.9  -1   3.43   2.4  1.85  2500  51 1460   1
150821.1  0.0107 3427   5.0   14.2  -1   1.96   5.0  1.96  2500  51 1460   1
150821.1  0.0107 3427   5.0   16.2  -1   2.49   5.1  1.93  2500  51 1460   1
150821.1  0.0107 3427   5.0   23.2  -1   3.58   0.9  1.87  2500  51 1460   1
150821.2  0.0106 4013   5.1   13.2  -1   1.93   7.4  2.81  2500  51 1460   1
150821.2  0.0106 4013   5.1   16.7  -1   2.66   4.0  2.29  2500  51 1460   1
150821.2  0.0106 4013   5.1   20.4  -1   3.33   2.3  2.15  2500  51 1460   1
150309.1  0.0116 4124   5.7    9.6  -1   0.99  36.2  1.82  2700  51 1460   1
150309.1  0.0116 4124   5.7   12.7  -1   1.97  12.4  1.40  2700  51 1460   1
150309.1  0.0116 4124   5.7   12.8  -1   1.49  11.1  1.18  2700  51 1460   1
150309.1  0.0116 4124   5.7   14.8  -1   2.01   8.0  1.13  2700  51 1460   1
150309.1  0.0116 4124   5.7   19.3  -1   2.48   5.4  1.29  2700  51 1460   1
150310.2  0.0116 2059   4.4   10.6  -1   1.86   7.9  1.40  2700  51 1460   1
150310.2  0.0116 2059   4.4   21.9  -1   3.85   0.9  1.60  2700  51 1460   1
150610.1  0.0116 1994   4.2    7.9  -1   0.86  12.7  0.99  2700  51 1460   1
150610.1  0.0116 1994   4.2    9.9  -1   1.13  11.3  1.07  2700  51 1460   1
150610.1  0.0116 1994   4.2   13.9  -1   1.87   3.8  1.36  2700  51 1460   1
150610.1  0.0116 1994   4.2   17.3  -1   2.16   2.5  1.45  2700  51 1460   1
150610.1  0.0116 1994   4.2   24.2  -1   3.61   1.4  1.42  2700  51 1460   1
150611.2  0.0117 4936   6.1   13.2  -1   1.78   7.5  1.88  2700  51 1460   1
150611.2  0.0117 4936   6.1   17.7  -1   2.49   4.1  1.74  2700  51 1460   1
150611.2  0.0117 4936   6.1   20.1  -1   2.65   2.1  1.81  2700  51 1460   1
150611.2  0.0117 4936   6.1   25.6  -1   3.48   1.1  1.64  2700  51 1460   1
150611.3  0.0117 5015   6.3   13.5  -1   1.70   8.2  1.72  2700  51 1460   1
150611.3  0.0117 5015   6.3   18.3  -1   2.53   4.2  1.25  2700  51 1460   1
150611.3  0.0117 5015   6.3   20.5  -1   2.72   3.1  1.54  2700  51 1460   1
150612.1  0.0119 1815   4.0   16.0  -1   2.25   1.5  1.40  2700  51 1460   1
150612.1  0.0119 1815   4.0   22.2  -1   3.00   0.7  1.33  2700  51 1460   1
150612.2  0.0115 2062   4.4   21.9  -1   2.69   0.3  1.52  2700  51 1460   1
150820.1  0.0117 2920   4.6   12.0  -1   1.33  14.5  1.83  2700  51 1460   1
150820.1  0.0117 2920   4.6   15.3  -1   1.92   5.8  1.66  2700  51 1460   1
150820.1  0.0117 2920   4.6   18.5  -1   2.68   5.6  1.79  2700  51 1460   1
150820.7  0.0118 3953   5.2   12.2  -1   1.76   8.0  1.88  2700  51 1460   1
150820.7  0.0118 3953   5.2   17.5  -1   2.68   2.7  2.14  2700  51 1460   1
151105.3  0.0117 4143   5.4   10.7  -1   1.30  13.6  2.34  2700  51 1460   1
151105.3  0.0117 4143   5.4   13.0  -1   2.01   6.2  1.72  2700  51 1460   1
151105.3  0.0117 4143   5.4   15.4  -1   2.46   3.5  1.68  2700  51 1460   1
151105.3  0.0117 4143   5.4   18.1  -1   2.82   3.8  1.73  2700  51 1460   1
151105.3  0.0117 4143   5.4   22.4  -1   3.33   2.6  1.53  2700  51 1460   1
150311.1  0.0189 4097   6.5   13.4  -1   1.88  10.7  2.38  4600  51 1460   1
150311.1  0.0189 4097   6.5   15.9  -1   2.32   5.1  2.51  4600  51 1460   1
150311.1  0.0189 4097   6.5   18.1  -1   2.84   6.5  2.08  4600  51 1460   1
150311.1  0.0189 4097   6.5   20.5  -1   3.50   1.8  1.66  4600  51 1460   1
150820.3  0.0189 3834   5.8   12.1  -1   -1    16.5  2.53  4600  51 1460   1
150820.3  0.0189 3834   5.8   18.4  -1   -1     9.8  2.06  4600  51 1460   1
150820.3  0.0189 3834   5.8   24.6  -1   -1     3.5  1.73  4600  51 1460   1
150821.5  0.0188 1972   4.8   14.0  -1   2.04   4.0  1.48  4600  51 1460   1
150821.5  0.0188 1972   4.8   15.1  -1   2.39   4.1  1.92  4600  51 1460   1
150821.5  0.0188 1972   4.8   19.8  -1   3.22   1.8  1.89  4600  51 1460   1
150309.3  0.0265 3864   6.9   10.0  -1   0.94  24.0  2.43  5700  51 1460   1
150309.3  0.0265 3864   6.9   15.3  -1   2.21  15.8  2.31  5700  51 1460   1
150309.3  0.0265 3864   6.9   18.2  -1   2.67   4.4  2.03  5700  51 1460   1
150309.3  0.0265 3864   6.9   19.1  -1   2.82   6.2  1.82  5700  51 1460   1
150309.3  0.0265 3864   6.9   22.6  -1   3.61   3.2  1.67  5700  51 1460   1
150311.7  0.0257 2004   5.7   12.5  -1   1.83  12.7  1.80  5700  51 1460   1
150820.4  0.0254 3934   6.6   11.7  -1   1.23  15.4  2.76  5700  51 1460   1
150820.4  0.0254 3934   6.6   15.0  -1   1.94   7.5  2.53  5700  51 1460   1
150820.4  0.0254 3934   6.6   17.2  -1   2.51  12.2  2.09  5700  51 1460   1
150820.4  0.0254 3934   6.6   22.1  -1   3.21   5.3  1.77  5700  51 1460   1
#Table 5 M20 
#run       mp    vimp   R_cr  xcm   tris tmax  gmax  Thalf rhop  v_p rhos R_p  
#  SUS has density 7900, Cu has density 9000 WC = tungsten Carbid 14900
150309.2  0.0324 3943   7.5   14.9  -1   2.36  12.9  2.28  7900  51 1460   1
150309.2  0.0324 3943   7.5   16.4  -1   2.73   8.7  2.43  7900  51 1460   1
150309.2  0.0324 3943   7.5   17.7  -1   2.67   8.8  2.06  7900  51 1460   1
150309.2  0.0324 3943   7.5   21.1  -1   3.56   3.5  1.98  7900  51 1460   1
150310.3  0.0326 2018   5.7   17.4  -1   3.19   3.3  2.10  7900  51 1460   1
150610.2  0.0326 1841   5.7   11.6  -1   1.78  11.7  1.87  7900  51 1460   1
150610.2  0.0326 1841   5.7   15.9  -1   2.53   3.3  2.05  7900  51 1460   1
150610.2  0.0326 1841   5.7   21.2  -1   3.10   1.2  1.60  7900  51 1460   1
150610.2  0.0326 1841   5.7   25.3  -1   3.80   1.2  1.71  7900  51 1460   1
150611.4  0.0326 4936   8.4   15.6  -1   1.85  14.9  2.21  7900  51 1460   1
150611.4  0.0326 4936   8.4   18.1  -1   2.77   7.7  2.08  7900  51 1460   1
150611.4  0.0326 4936   8.4   21.6  -1   3.32   4.6  2.52  7900  51 1460   1
150611.4  0.0326 4936   8.4   24.8  -1   3.92   7.6  2.28  7900  51 1460   1
150612.3  0.0326 1848   5.7   15.6  -1   2.25   6.6  1.94  7900  51 1460   1
150612.3  0.0326 1848   5.7   21.6  -1   3.27   2.0  1.82  7900  51 1460   1
150612.4  0.0328 1824   5.8   11.8  -1   1.64   9.1  1.95  7900  51 1460   1
150820.6  0.0326 3805   7.0   12.7  -1   1.44  26.0  2.71  7900  51 1460   1
150820.6  0.0326 3805   7.0   17.3  -1   2.49  22.1  2.17  7900  51 1460   1
150820.6  0.0326 3805   7.0   21.0  -1   3.25   8.2  1.82  7900  51 1460   1
150820.6  0.0326 3805   7.0   24.0  -1   3.51   6.5  1.55  7900  51 1460   1
150310.6  0.0378 3962   7.6   14.8  -1   1.98  15.4  2.00  9000  51 1460   1
150310.6  0.0378 3962   7.6   17.1  -1   2.55  14.1  2.36  9000  51 1460   1
150310.6  0.0378 3962   7.6   20.0  -1   2.88   7.7  2.00  9000  51 1460   1
150310.6  0.0378 3962   7.6   23.4  -1   3.61   6.0  1.50  9000  51 1460   1
150820.5  0.0381 3626   7.1   13.9  -1   1.45  20.0  2.20  9000  51 1460   1
150820.5  0.0381 3626   7.1   18.4  -1   2.76  14.2  1.96  9000  51 1460   1
150820.5  0.0381 3626   7.1   25.0  -1   3.38   7.5  1.67  9000  51 1460   1
151105.1  0.0378 2114   6.0    9.9  -1   0.87  28.5  1.09  9000  51 1460   1
151105.1  0.0378 2114   6.0   14.1  -1   1.54  10.0  1.49  9000  51 1460   1
151105.1  0.0378 2114   6.0   17.2  -1   2.31   5.8  1.15  9000  51 1460   1
151105.1  0.0378 2114   6.0   19.7  -1   2.75   7.1  1.20  9000  51 1460   1
151105.1  0.0378 2114   6.0   24.8  -1   3.41   3.1  1.44  9000  51 1460   1
150309.4  0.0621 3726   9.1   14.0  -1   1.42  40.9  2.06 14900  51 1460   1
150309.4  0.0621 3726   9.1   15.8  -1   1.87  37.0  1.99 14900  51 1460   1
150309.4  0.0621 3726   9.1   20.6  -1   2.79  13.0  1.99 14900  51 1460   1
150309.4  0.0621 3726   9.1   21.2  -1   2.81  12.9  2.02 14900  51 1460   1
150309.4  0.0621 3726   9.1   24.4  -1   3.76   8.4  2.19 14900  51 1460   1
150312.2  0.0619 1786   6.4   12.2  -1   2.13  12.4  2.70 14900  51 1460   1
150312.2  0.0619 1786   6.4   15.8  -1   3.39   8.5  2.80 14900  51 1460   1
150819.4  0.0625 3422   8.2   12.7  -1   1.16  46.3  2.89 14900  51 1460   1
150819.4  0.0625 3422   8.2   15.6  -1   1.68  16.5  2.95 14900  51 1460   1
150819.4  0.0625 3422   8.2   18.5  -1   2.46  20.8  2.65 14900  51 1460   1
150819.4  0.0625 3422   8.2   26.2  -1   3.75   6.8  2.05 14900  51 1460   1
#
#run       mp    vimp   R_cr  xcm   tris tmax  gmax  Thalf rhop  v_p rhos Rp
# Our values Table 2,4,5,6  1=MR5, 2=ML5, 3=SL5 use 2 Deltat_a as Thalf
1         27.3   4.4    5.5   6.8   -1   -1    17.0  2.18  1006  55  750  18.3
2         27.3   4.4    5.5   7.1   -1   -1    51.9  1.82  1006  55  750  18.3
3         20.9   4.7    3.75  7.5   -1   -1    43.0  1.16  2630  55 1500  14.1
#
